Region,Product,Date,Sales
North,Prod A,11/19/2014,94229.2322
South,Prod S,1/7/2011,23826.54393
East,Prod J,1/28/2011,24063.74139
West,Prod F,2/5/2013,61509.56558
North,Prod T,3/15/2012,44966.88996
South,Prod A,2/3/2011,25421.93065
North,Prod B,3/6/2014,81323.01425
South,Prod C,1/17/2012,42829.06447
North,Prod A,7/3/2010,14272.44678
North,Prod K,4/17/2013,65574.63182
East,Prod S,12/30/2013,77350.29037
South,Prod A,4/2/2015,101065.8736
North,Prod P,10/22/2014,93058.62891
South,Prod A,6/24/2015,105027.0429
South,Prod F,2/2/2015,98078.59857
South,Prod L,12/6/2014,95503.95319
South,Prod Q,10/16/2015,111285.3615
North,Prod N,8/19/2010,16666.71764
South,Prod K,7/12/2012,51396.30789
North,Prod R,1/3/2011,23148.90442
North,Prod R,12/21/2015,114125.67
South,Prod G,2/6/2016,116432.9729
North,Prod E,2/12/2011,25140.31167
West,Prod D,4/16/2014,83242.86966
North,Prod E,9/1/2015,108603.8298
North,Prod E,3/22/2013,63877.02303
North,Prod I,5/17/2015,102934.3932
South,Prod M,1/21/2011,24464.10092
North,Prod Q,3/14/2015,100125.773
North,Prod P,2/1/2011,24509.67562
South,Prod M,9/2/2011,36107.24811
North,Prod O,7/23/2011,33199.27653
North,Prod K,1/25/2013,61211.76379
North,Prod L,9/2/2012,53836.37022
North,Prod E,1/21/2014,79186.15498
South,Prod T,12/28/2013,77836.62066
South,Prod M,5/1/2013,66356.78388
North,Prod I,11/30/2012,58452.39431
North,Prod H,10/4/2010,18651.93222
North,Prod R,8/23/2011,34959.14859
North,Prod T,3/15/2014,81620.88638
South,Prod D,11/14/2014,93917.15253
North,Prod R,6/22/2012,50244.53183
South,Prod K,6/5/2015,104203.5841
South,Prod C,6/15/2016,122894.5188
