Region,Product,Date,Sales
North,Prod J,2/8/2011,25237.402
North,Prod R,2/22/2010,7621.245812
South,Prod H,6/24/2015,105337.1376
North,Prod S,2/16/2016,116448.147
South,Prod O,6/23/2014,87005.67462
North,Prod G,2/23/2014,80646.58988
North,Prod M,2/28/2013,62526.6086
East,Prod D,11/9/2014,93108.4799
North,Prod C,4/20/2012,46995.50774
East,Prod K,2/16/2012,43241.08819
North,Prod F,11/24/2011,39488.53542
South,Prod F,7/31/2013,70776.3409
West,Prod H,2/24/2014,80786.61589
South,Prod C,6/13/2014,86397.583
North,Prod N,12/31/2011,41564.55705
North,Prod G,1/25/2014,78884.13564
North,Prod G,3/1/2013,63130.90254
West,Prod M,8/15/2015,107536.2344
North,Prod S,6/13/2015,104664.241
West,Prod P,9/17/2012,54160.77921
North,Prod M,4/10/2015,101376.6312
West,Prod P,7/31/2012,52195.45582
North,Prod J,7/10/2010,14564.84368
North,Prod L,9/20/2013,73173.91903
North,Prod K,11/29/2012,58365.40323
North,Prod D,4/16/2016,120255.9087
South,Prod H,8/6/2010,16215.39166
North,Prod O,11/29/2015,112964.7922
South,Prod P,1/4/2014,78791.48784
North,Prod G,12/29/2011,41096.33052
North,Prod S,4/27/2012,47623.95877
North,Prod J,8/23/2010,16466.82877
West,Prod Q,9/6/2010,17320.67535
North,Prod J,10/18/2013,74274.78185
North,Prod Q,2/3/2016,116414.3607
East,Prod A,9/24/2011,35726.96049
North,Prod B,1/18/2011,24269.01168
West,Prod F,3/8/2011,26363.48917
South,Prod J,9/1/2014,90238.30813
North,Prod L,9/17/2014,91350.9085
North,Prod R,7/20/2013,70177.62561
South,Prod L,1/14/2015,97025.03762
South,Prod F,1/25/2010,6538.061748
North,Prod S,10/12/2015,110484.5979
South,Prod A,3/23/2012,45847.89818
North,Prod M,6/21/2012,50135.89542
West,Prod T,10/19/2010,19473.71773
North,Prod H,6/28/2010,14110.45493
West,Prod H,3/4/2012,44350.97525
