Region,Product,Date,Sales
North,Prod O,5/17/2014,85077.92258
North,Prod K,4/7/2015,101334.3042
South,Prod S,3/20/2010,8942.483414
North,Prod H,3/30/2013,64243.92358
North,Prod L,6/1/2012,49438.54043
North,Prod O,5/15/2010,11810.26471
North,Prod E,5/12/2011,30170.615
West,Prod K,12/18/2015,113780.877
North,Prod G,1/14/2015,96612.90635
West,Prod M,3/16/2012,45244.85768
North,Prod S,6/23/2010,13486.19246
North,Prod G,6/20/2012,49906.74069
West,Prod H,1/23/2012,42736.17552
South,Prod Q,10/3/2012,55504.18324
North,Prod M,9/26/2011,36800.25183
North,Prod T,7/12/2011,33044.31542
North,Prod R,9/23/2011,36628.03418
West,Prod R,4/1/2012,46244.18629
South,Prod D,8/16/2012,53308.80157
North,Prod G,6/22/2011,31878.80714
West,Prod R,9/20/2015,109064.4413
North,Prod B,2/24/2014,80604.28134
South,Prod K,9/2/2014,90536.98582
West,Prod L,9/5/2015,108487.2004
North,Prod P,1/6/2016,114747.3769
South,Prod C,5/22/2011,31063.53085
West,Prod D,9/23/2012,54603.88057
North,Prod P,8/25/2014,90337.16667
South,Prod T,8/2/2014,88987.84182
North,Prod I,3/11/2015,99940.60727
South,Prod G,11/8/2012,57185.37568
North,Prod E,12/10/2015,113993.3241
North,Prod H,2/4/2011,25118.62671
North,Prod O,7/3/2011,32547.16457
North,Prod G,5/16/2014,84937.94398
West,Prod P,11/7/2013,75595.6215
East,Prod C,6/1/2012,48335.43454
South,Prod M,3/14/2015,100130.403
East,Prod G,12/22/2013,76907.78104
North,Prod S,7/26/2012,51815.37814
North,Prod P,1/23/2016,116274.5903
West,Prod D,7/14/2010,14571.57582
West,Prod T,4/15/2010,10191.92044
West,Prod S,7/22/2012,51517.95818
North,Prod C,9/24/2014,91873.08687
West,Prod E,2/12/2016,116572.6328
North,Prod A,3/25/2010,9322.784822
North,Prod K,11/30/2015,113384.3658
North,Prod R,12/1/2015,113063.5733
South,Prod M,1/16/2012,42410.66025
South,Prod C,7/7/2014,87745.70085
North,Prod B,11/4/2015,111865.7064
