Region,Product,Date,Sales
South,Prod F,3/1/2015,99496.65167
West,Prod L,1/10/2015,96849.89358
West,Prod G,4/24/2014,83845.46843
South,Prod H,6/5/2014,86444.98583
North,Prod J,3/31/2010,9502.540135
North,Prod Q,11/2/2014,93500.30523
East,Prod S,7/10/2015,105008.3808
East,Prod P,9/8/2012,53496.58236
North,Prod N,4/15/2012,47406.65173
North,Prod P,8/9/2010,16004.15352
North,Prod I,9/29/2014,91608.4723
West,Prod B,10/13/2010,19527.53459
North,Prod F,2/17/2016,116853.0029
South,Prod A,10/3/2015,110772.0417
South,Prod M,5/23/2014,85802.42926
North,Prod H,1/27/2010,6126.298598
South,Prod M,2/10/2016,117236.6803
West,Prod P,6/7/2014,86085.00034
South,Prod A,12/9/2010,22162.11555
North,Prod D,11/16/2011,39541.83871
South,Prod L,2/14/2015,98981.51953
East,Prod N,1/23/2016,115275.2117
North,Prod R,11/17/2010,21165.12917
East,Prod R,1/17/2013,60272.08871
North,Prod H,9/2/2010,17108.83022
South,Prod A,9/17/2014,91424.40699
North,Prod P,7/20/2014,87904.3008
West,Prod F,7/11/2012,51298.56662
North,Prod H,6/7/2012,49728.32122
South,Prod B,5/7/2013,66375.59634
East,Prod S,9/19/2013,72501.70089
South,Prod K,6/16/2012,50332.47473
North,Prod J,5/13/2014,84877.17127
South,Prod O,1/29/2015,97934.20221
East,Prod B,11/15/2012,56771.65741
South,Prod C,10/25/2011,38610.10074
North,Prod N,8/15/2013,71387.85005
North,Prod P,10/27/2010,20070.68431
West,Prod O,6/18/2011,31795.54222
South,Prod Q,8/5/2014,89329.85439
North,Prod R,5/19/2015,103245.2098
