Region,Product,Date,Sales
North,Prod I,6/4/2011,30914.52326
South,Prod D,12/31/2010,23529.88265
West,Prod T,5/6/2010,11347.93678
North,Prod J,9/29/2012,55296.30866
North,Prod N,3/18/2010,9200.398561
South,Prod B,10/31/2011,39037.88141
West,Prod Q,10/27/2011,38240.06281
South,Prod G,4/16/2015,101704.5186
North,Prod R,9/25/2015,109746.1789
East,Prod O,5/28/2014,84696.85123
North,Prod R,4/20/2010,10507.33628
South,Prod K,4/26/2014,83679.64265
East,Prod Q,4/30/2011,28814.04418
East,Prod Q,1/1/2013,59324.66964
South,Prod L,11/13/2013,75437.61458
South,Prod S,4/26/2010,11379.31368
North,Prod A,6/4/2013,67865.62764
South,Prod P,12/4/2014,95499.8537
North,Prod P,1/24/2013,61293.05979
North,Prod R,11/21/2014,94238.54665
North,Prod M,5/17/2013,66575.1355
East,Prod K,1/20/2010,5484.827177
North,Prod R,7/19/2010,15211.74407
North,Prod J,4/8/2012,46741.20811
East,Prod T,1/21/2015,96965.53946
North,Prod R,7/29/2011,33815.88959
South,Prod S,9/12/2013,72955.65055
North,Prod C,6/14/2014,86529.63935
North,Prod B,8/29/2015,108586.1554
North,Prod O,6/11/2014,86125.32202
North,Prod A,1/13/2016,115419.5371
North,Prod J,9/23/2015,109556.2744
South,Prod D,1/12/2011,23975.75981
East,Prod B,8/30/2013,71401.00516
North,Prod B,8/26/2010,17096.37366
North,Prod O,3/8/2012,44758.58649
North,Prod E,12/15/2010,22608.20327
North,Prod Q,12/24/2010,23184.38061
South,Prod G,11/21/2010,21070.92085
East,Prod A,9/16/2015,108854.6211
South,Prod K,10/8/2012,55883.47682
North,Prod C,12/27/2015,114587.5753
South,Prod F,11/28/2015,112945.0774
North,Prod C,2/9/2012,43721.55648
North,Prod F,1/19/2014,78991.71847
South,Prod I,8/11/2012,53001.91646
South,Prod J,11/25/2015,112619.4645
South,Prod S,5/31/2013,67267.18133
South,Prod L,7/7/2014,87649.02956
North,Prod D,6/26/2012,50374.7021
North,Prod L,9/16/2014,91002.57606
North,Prod I,6/23/2010,13564.81515
North,Prod G,2/27/2015,99554.22565
South,Prod Q,1/4/2013,60629.70535
North,Prod I,1/19/2011,24385.47067
North,Prod D,10/5/2013,73830.56525
West,Prod T,10/27/2010,20126.72434
North,Prod B,11/23/2014,94360.6754
South,Prod R,3/30/2013,64463.86255
South,Prod T,8/30/2015,108835.9678
North,Prod T,3/1/2015,99293.61325
