Region,Product,Date,Sales
South,Prod S,2/9/2014,80300.25652
North,Prod I,3/15/2015,100307.6828
North,Prod O,1/13/2015,96941.4548
North,Prod B,12/7/2015,113278.2493
North,Prod O,3/2/2010,8231.430551
South,Prod N,3/15/2012,45931.27699
South,Prod T,1/22/2016,115786.8932
North,Prod I,1/10/2013,60542.78182
South,Prod J,9/8/2010,17813.12103
North,Prod F,10/6/2015,110251.8124
South,Prod B,4/17/2012,47292.0948
South,Prod F,11/5/2012,57600.07537
West,Prod M,2/16/2010,6837.368669
North,Prod S,12/20/2015,113898.7762
North,Prod M,4/16/2013,64678.80837
North,Prod A,8/1/2010,15574.86502
North,Prod R,12/16/2013,77220.7321
West,Prod S,4/30/2014,84013.21695
West,Prod G,1/6/2015,96092.78924
North,Prod C,9/28/2015,110074.2876
East,Prod F,3/24/2010,8879.49249
North,Prod T,4/5/2010,9993.107305
North,Prod M,11/24/2012,57780.35502
South,Prod H,4/30/2015,102704.7169
North,Prod P,9/10/2015,109256.4715
North,Prod E,9/20/2011,36764.49444
South,Prod G,1/11/2014,78692.01472
West,Prod F,5/10/2014,84593.17931
North,Prod G,9/13/2014,91021.78041
West,Prod K,8/24/2014,89858.9411
West,Prod R,6/24/2011,32051.32266
North,Prod N,8/23/2010,16462.95886
North,Prod A,3/17/2010,8780.726109
North,Prod H,1/24/2012,42787.85204
North,Prod S,10/5/2010,19334.0618
South,Prod A,1/23/2015,97623.66341
South,Prod E,11/25/2010,21539.80447
South,Prod P,3/17/2016,118688.7474
West,Prod O,3/27/2010,9148.824283
North,Prod O,6/22/2014,86703.02588
East,Prod E,8/18/2010,15867.13485
South,Prod R,2/26/2010,8021.975232
North,Prod H,6/24/2015,105102.5211
North,Prod S,9/9/2013,72469.9403
East,Prod N,7/28/2011,33130.02933
North,Prod F,3/7/2013,63098.19791
North,Prod H,1/19/2011,24070.21153
South,Prod D,5/5/2015,102867.2218
