Region,Product,Date,Sales
North,Prod P,10/23/2011,37768.48339
North,Prod H,12/23/2014,96037.49148
East,Prod G,9/9/2014,89990.25737
South,Prod O,11/17/2011,39651.94308
North,Prod G,3/31/2015,100864.791
North,Prod P,2/19/2015,99370.59666
South,Prod H,6/5/2011,31386.61152
East,Prod I,3/17/2014,81433.91942
North,Prod E,6/17/2010,13266.47641
South,Prod D,9/6/2013,72611.06381
North,Prod K,11/16/2013,76092.89723
North,Prod R,10/30/2012,56649.82295
West,Prod F,3/13/2015,99946.13082
North,Prod F,3/18/2014,81936.26633
North,Prod J,10/12/2014,92521.77475
North,Prod S,12/8/2013,76973.7221
North,Prod K,3/17/2013,63693.88495
West,Prod B,6/11/2015,104404.1785
North,Prod H,6/4/2012,49443.5315
North,Prod E,9/18/2010,17928.609
East,Prod K,10/29/2013,74434.81857
South,Prod R,5/24/2011,30423.47024
South,Prod R,5/7/2010,11308.87525
North,Prod D,8/13/2010,16441.86333
North,Prod O,4/17/2016,119749.9998
West,Prod J,12/22/2014,95718.9195
North,Prod G,11/11/2011,38746.84194
South,Prod L,6/18/2013,68785.36979
North,Prod F,10/15/2013,74106.01849
North,Prod A,3/9/2014,81599.56066
West,Prod G,12/9/2010,22104.22428
North,Prod C,6/11/2015,104457.8865
North,Prod J,8/25/2010,16617.72219
South,Prod C,10/3/2010,19676.74557
North,Prod O,8/17/2014,89835.46753
East,Prod L,5/21/2012,47833.39861
North,Prod E,12/28/2011,41327.13843
East,Prod I,6/11/2010,12594.474
South,Prod F,3/26/2013,64228.67222
East,Prod F,2/6/2016,115779.4091
South,Prod M,2/19/2011,25748.05565
East,Prod L,5/15/2014,84512.49303
North,Prod H,6/28/2013,69172.1601
North,Prod B,7/13/2015,106024.9631
North,Prod G,12/17/2013,77406.94554
South,Prod J,5/16/2012,48383.64481
South,Prod E,7/30/2013,70572.07142
West,Prod E,3/30/2011,27347.0311
North,Prod A,7/22/2011,33423.69412
South,Prod G,10/6/2015,110469.3406
North,Prod L,4/6/2016,119399.613
North,Prod L,3/2/2014,81140.21974
North,Prod N,1/31/2016,116418.5877
