Region,Product,Date,Sales
North,Prod B,1/4/2010,5240.179641
North,Prod D,10/7/2012,55365.89449
North,Prod F,10/30/2015,111489.4494
North,Prod C,5/8/2016,120988.1508
West,Prod B,3/29/2015,100858.3043
East,Prod N,2/23/2013,61791.48821
West,Prod A,12/1/2014,94770.15567
North,Prod O,3/2/2015,99561.38911
North,Prod A,11/27/2012,57890.45595
West,Prod J,8/31/2011,35588.34507
South,Prod C,6/3/2011,31166.11762
North,Prod Q,6/2/2012,49220.56172
North,Prod R,9/23/2013,72935.43373
North,Prod I,10/13/2013,74122.25141
North,Prod A,6/27/2010,13982.53811
West,Prod L,5/13/2013,66071.51978
North,Prod C,12/24/2010,22848.00874
North,Prod Q,8/8/2012,52451.61099
North,Prod M,10/11/2013,73946.33393
South,Prod J,3/21/2011,27105.36674
North,Prod A,12/21/2010,22866.53103
South,Prod I,11/18/2014,94486.0335
West,Prod J,5/11/2013,66490.21671
North,Prod J,8/4/2015,107279.5907
South,Prod D,3/6/2010,8671.354482
West,Prod J,2/14/2012,43703.31844
South,Prod S,9/12/2014,91093.85744
South,Prod P,9/18/2011,36177.77848
East,Prod G,8/26/2013,71230.56944
North,Prod O,5/1/2014,84302.02924
West,Prod R,1/12/2013,60536.03862
North,Prod D,1/8/2014,78442.05027
North,Prod C,10/31/2011,38726.83583
West,Prod T,3/11/2012,44769.92073
South,Prod H,3/4/2010,8244.864552
North,Prod G,1/5/2015,96701.06494
North,Prod O,1/24/2013,61071.30842
West,Prod C,9/6/2014,90435.23004
North,Prod G,11/18/2010,21006.15979
North,Prod K,11/30/2011,40323.60205
West,Prod Q,5/20/2015,103213.0936
South,Prod S,1/4/2013,60258.02839
South,Prod N,1/7/2014,78583.76779
North,Prod O,2/5/2014,80145.73051
North,Prod S,1/4/2012,41945.66491
North,Prod O,12/18/2014,95950.91108
South,Prod O,6/17/2012,50075.46178
North,Prod F,10/9/2011,37544.80567
North,Prod O,6/15/2012,50197.45846
