Region,Product,Date,Sales
West,Prod J,3/30/2016,118561.906
South,Prod E,9/15/2010,17462.12701
South,Prod L,4/17/2013,64539.19138
East,Prod A,10/28/2015,110216.2928
North,Prod F,10/31/2010,19429.72977
South,Prod R,12/26/2014,95773.87658
North,Prod L,7/14/2011,32629.57322
North,Prod M,4/10/2012,46096.31108
West,Prod R,3/4/2011,25609.51587
South,Prod K,11/10/2010,20279.09058
North,Prod T,5/6/2011,28782.3931
East,Prod O,7/25/2015,105261.7453
East,Prod H,7/16/2015,104523.5125
North,Prod F,7/18/2010,14272.23378
West,Prod C,2/17/2016,116520.9399
North,Prod P,5/27/2011,29725.7553
North,Prod Q,5/20/2015,102893.5438
South,Prod H,2/25/2014,80300.74735
West,Prod F,9/2/2011,34741.31042
North,Prod J,4/25/2012,46562.59514
West,Prod L,4/22/2016,119616.8702
East,Prod D,12/14/2015,112800.2807
North,Prod P,8/28/2010,16307.70623
North,Prod K,5/16/2013,66079.71253
North,Prod N,6/8/2016,121907.3791
North,Prod I,5/16/2014,84319.31496
South,Prod P,8/19/2010,16165.67052
North,Prod T,11/9/2013,74943.23889
North,Prod K,2/14/2016,116075.7141
North,Prod R,8/7/2011,33611.94548
East,Prod N,11/7/2014,92634.20657
East,Prod G,1/25/2016,114641.7171
North,Prod H,2/11/2014,79647.20838
North,Prod N,11/26/2013,75612.89055
South,Prod C,11/22/2012,57265.42006
North,Prod A,1/29/2010,6141.40008
North,Prod M,1/2/2014,77411.5784
South,Prod J,11/6/2011,38508.11358
North,Prod P,10/27/2011,37956.24204
North,Prod A,6/7/2011,30261.40145
South,Prod O,10/14/2014,91742.79161
West,Prod L,10/19/2010,19017.51475
North,Prod H,6/17/2010,13202.37187
South,Prod K,7/23/2015,106101.3096
South,Prod C,3/31/2010,9553.824099
South,Prod I,2/4/2014,79516.45649
