Region,Product,Date,Sales
North,Prod D,4/10/2013,64887.41222
West,Prod A,1/29/2010,6441.850856
South,Prod A,9/11/2010,18125.02711
North,Prod H,11/9/2013,75658.77488
South,Prod N,6/27/2013,69019.09196
South,Prod S,3/5/2010,8529.930106
North,Prod P,5/26/2012,48607.72913
North,Prod M,9/16/2011,35976.82938
West,Prod Q,1/7/2014,78384.70622
East,Prod M,10/28/2014,92772.05676
North,Prod Q,9/8/2012,54036.74514
South,Prod F,12/24/2012,59520.67862
West,Prod O,1/17/2010,5781.806043
North,Prod C,6/19/2010,13511.96023
West,Prod O,11/2/2011,38605.25218
North,Prod H,3/2/2015,99164.64824
South,Prod H,2/1/2011,25472.25635
North,Prod T,8/12/2015,107529.4945
South,Prod L,11/18/2012,57792.21324
West,Prod G,9/3/2012,53589.11571
North,Prod B,12/19/2015,113857.0289
North,Prod J,8/30/2013,71557.54284
North,Prod H,8/25/2013,71999.99308
North,Prod S,12/30/2013,78029.27511
North,Prod R,1/28/2014,79570.32234
North,Prod B,6/17/2012,49788.97481
South,Prod O,5/3/2010,11637.77961
East,Prod N,11/25/2013,75479.47419
East,Prod C,4/29/2015,101826.0119
North,Prod K,2/25/2016,117480.2329
North,Prod S,3/29/2010,9335.081334
East,Prod R,9/9/2014,90391.34854
North,Prod J,11/4/2010,20703.2445
North,Prod K,11/18/2011,39380.45854
North,Prod L,4/20/2012,47395.85003
West,Prod I,9/25/2010,18041.95163
North,Prod M,7/3/2014,87195.32601
West,Prod H,5/25/2013,66960.54627
South,Prod Q,1/14/2016,115746.2773
East,Prod I,4/16/2016,119254.5056
North,Prod K,2/26/2013,62624.71424
North,Prod N,3/31/2015,101135.4814
North,Prod B,1/19/2016,115340.9916
North,Prod Q,8/21/2013,71422.88066
North,Prod O,2/5/2012,43667.27074
North,Prod M,11/25/2015,112911.2632
North,Prod E,1/27/2013,60932.3676
North,Prod C,11/22/2011,39453.2492
