Region,Product,Date,Sales
North,Prod I,2/6/2015,98276.426
North,Prod N,8/11/2014,89288.85211
North,Prod B,3/1/2013,62800.48234
North,Prod E,1/12/2010,5460.957747
West,Prod K,8/15/2010,16287.65591
North,Prod R,3/16/2014,82002.19747
North,Prod S,5/28/2012,48846.6058
South,Prod C,2/3/2015,98548.7485
South,Prod B,1/12/2012,42550.22705
North,Prod F,10/31/2013,75045.83604
North,Prod T,2/15/2015,98784.84478
West,Prod E,9/26/2015,109376.1855
North,Prod K,10/2/2014,91536.16191
North,Prod S,2/17/2016,116945.656
South,Prod O,2/7/2011,25422.19919
North,Prod T,9/19/2015,109437.3067
South,Prod S,9/28/2012,55249.79877
North,Prod F,1/27/2010,6060.091966
North,Prod L,2/7/2015,98073.85864
East,Prod T,10/30/2011,38034.36423
North,Prod H,12/19/2010,22669.32316
North,Prod C,10/17/2012,56094.459
North,Prod P,6/1/2015,104057.5799
South,Prod J,11/22/2014,94325.61918
North,Prod T,7/6/2014,87302.97356
North,Prod J,10/13/2015,111062.5816
South,Prod P,3/20/2010,9224.409207
West,Prod E,8/25/2011,34764.50768
West,Prod T,1/11/2011,23917.04641
South,Prod G,10/17/2010,19967.26062
South,Prod S,2/25/2015,99155.12667
South,Prod I,7/14/2010,14971.99022
North,Prod F,6/9/2016,122830.2109
North,Prod H,3/20/2015,100659.5439
North,Prod I,5/20/2011,30155.70715
North,Prod M,8/28/2014,90088.09805
West,Prod F,2/5/2013,61569.48325
North,Prod J,10/2/2014,91833.56148
North,Prod B,8/16/2011,34476.8914
South,Prod A,10/22/2015,111045.2373
East,Prod L,1/1/2014,77794.25433
East,Prod B,10/8/2011,36919.56189
West,Prod O,2/28/2012,44225.21183
North,Prod H,10/4/2010,18796.45672
East,Prod P,9/22/2014,90873.23935
North,Prod T,8/21/2014,89803.76312
