Region,Product,Date,Sales
North,Prod E,1/30/2011,25023.17169
North,Prod P,4/16/2014,83233.848
North,Prod I,1/22/2011,24524.15407
South,Prod S,8/15/2014,89393.15346
North,Prod R,12/22/2015,114295.506
North,Prod M,7/12/2013,69443.41856
South,Prod P,7/12/2012,51147.93625
North,Prod J,8/30/2011,35085.71032
North,Prod F,5/23/2010,12101.8533
South,Prod S,3/17/2011,27277.97076
North,Prod C,8/25/2013,71829.6343
East,Prod S,9/16/2012,53910.77054
North,Prod B,1/14/2015,97276.1432
East,Prod P,10/26/2014,92546.81244
North,Prod C,10/29/2014,93068.90652
West,Prod L,5/31/2010,12784.42078
North,Prod B,2/27/2014,80932.52935
North,Prod E,9/23/2011,36471.01389
North,Prod K,6/3/2012,49211.32529
North,Prod C,2/5/2014,79876.54354
West,Prod N,4/20/2015,101367.8288
North,Prod N,3/25/2011,27371.1379
East,Prod K,10/24/2013,73976.68438
East,Prod C,5/14/2015,102505.376
North,Prod D,10/4/2011,37466.87258
West,Prod H,1/3/2013,59599.4401
South,Prod L,5/30/2013,67586.84605
West,Prod O,3/25/2012,45620.55145
East,Prod F,5/21/2011,29647.19014
North,Prod H,5/25/2013,67277.58091
North,Prod R,8/2/2011,34392.01902
North,Prod B,4/18/2011,28877.91688
South,Prod N,12/14/2011,40759.8055
West,Prod O,11/26/2015,112870.6338
West,Prod M,7/4/2011,32540.11361
North,Prod E,5/2/2014,83767.38809
North,Prod J,2/2/2011,24992.70442
North,Prod A,2/23/2013,62405.01005
East,Prod D,3/1/2010,7505.243144
North,Prod L,1/2/2014,78210.76664
North,Prod S,4/7/2014,82838.27771
South,Prod G,7/21/2015,106632.6398
East,Prod J,6/28/2012,49326.54331
North,Prod M,3/23/2015,100448.2206
East,Prod F,8/20/2013,70762.96339
