Region,Product,Date,Sales
West,Prod B,10/3/2015,109274.5183
North,Prod H,1/24/2013,60563.16034
North,Prod S,1/23/2016,115301.0816
North,Prod K,5/12/2014,83984.87698
South,Prod R,8/20/2013,71182.28683
South,Prod R,7/3/2010,13633.91553
South,Prod G,11/4/2013,74806.35319
North,Prod C,5/26/2013,66732.96794
North,Prod K,11/29/2014,94066.28552
North,Prod I,4/5/2011,27401.10219
North,Prod E,10/9/2015,109883.4768
East,Prod A,8/24/2012,51832.28895
South,Prod K,10/7/2015,110017.9937
North,Prod E,8/31/2014,89746.41778
West,Prod H,3/20/2010,8591.997877
North,Prod H,1/27/2014,78878.55173
North,Prod R,2/17/2014,79919.66802
East,Prod D,9/9/2013,71241.33087
North,Prod M,5/29/2016,121420.3358
North,Prod I,2/15/2011,24962.64566
East,Prod Q,3/16/2010,7724.270004
West,Prod D,8/15/2011,33501.53298
South,Prod D,2/21/2010,7236.755431
North,Prod R,9/7/2014,89947.44482
North,Prod P,5/31/2016,121863.3166
North,Prod B,3/26/2012,45223.77105
North,Prod I,4/19/2014,82812.26339
South,Prod S,4/18/2011,28443.14739
South,Prod S,3/12/2013,62658.58953
South,Prod G,9/9/2012,53630.25362
South,Prod P,11/23/2014,93510.45936
South,Prod R,10/2/2013,72701.27627
North,Prod A,12/28/2013,77764.10928
North,Prod J,7/11/2013,68762.67336
North,Prod A,5/30/2013,67238.55657
North,Prod R,3/29/2011,27014.35196
North,Prod E,7/3/2014,86791.29062
North,Prod T,3/29/2016,118526.8728
West,Prod E,5/22/2016,120938.5821
West,Prod H,2/27/2011,25343.39723
North,Prod I,1/27/2014,78537.90537
North,Prod K,7/27/2011,33246.52676
East,Prod G,2/16/2016,115870.9156
North,Prod E,2/19/2015,98726.09113
South,Prod A,7/27/2013,70002.05034
South,Prod H,4/29/2016,120412.6255
East,Prod M,7/22/2015,105044.6526
North,Prod T,7/8/2015,105240.7677
North,Prod Q,10/4/2010,18238.77188
East,Prod F,5/8/2012,46759.20774
North,Prod O,2/4/2016,115922.5447
North,Prod J,3/3/2013,62389.43037
North,Prod C,12/17/2010,22023.42489
North,Prod Q,1/18/2014,78333.32459
West,Prod H,1/6/2013,58776.54023
South,Prod P,6/8/2010,12557.68572
North,Prod R,6/2/2012,48487.29031
South,Prod E,4/6/2016,119336.8825
South,Prod B,9/8/2013,71798.31329
North,Prod T,6/4/2011,30390.77299
West,Prod R,4/4/2010,9125.477628
North,Prod N,7/6/2012,50508.40595
West,Prod J,7/25/2013,69750.76509
South,Prod Q,1/7/2013,59674.30473
South,Prod K,5/25/2012,48197.85267
West,Prod E,7/9/2014,87054.01895
North,Prod T,4/7/2011,27469.42123
North,Prod K,7/12/2010,14143.65659
West,Prod R,4/30/2014,83434.4127
West,Prod L,3/14/2013,63004.28939
South,Prod H,11/9/2014,93601.732
North,Prod R,4/6/2012,45778.71738
East,Prod L,11/4/2014,92287.83819
North,Prod C,1/14/2014,78405.78339
West,Prod F,1/14/2012,41509.1948
West,Prod T,6/6/2015,103491.2484
West,Prod T,9/6/2014,90046.69186
North,Prod K,8/2/2013,70113.72528
South,Prod R,8/30/2013,71688.63433
North,Prod C,9/2/2015,107835.732
South,Prod L,5/12/2015,102462.0811
North,Prod M,7/14/2014,87284.48714
North,Prod Q,3/3/2013,62303.59173
North,Prod H,5/27/2016,121332.9024
South,Prod I,2/9/2016,116522.9998
North,Prod E,11/18/2012,57021.93556
North,Prod L,10/14/2014,91850.37569
West,Prod M,3/21/2016,118189.448
South,Prod G,4/1/2010,9001.085398
North,Prod D,9/8/2015,108172.0376
North,Prod K,10/22/2010,19445.31847
North,Prod H,4/26/2010,10402.77342
South,Prod J,1/14/2012,41862.94241
North,Prod I,9/15/2013,72243.22281
North,Prod K,11/15/2010,20077.25341
West,Prod L,11/18/2011,38918.16644
North,Prod R,12/12/2014,94946.24525
North,Prod T,6/20/2010,12466.68843
West,Prod J,8/11/2014,88259.6785
North,Prod L,2/3/2010,6220.753028
North,Prod R,8/22/2012,53101.62432
South,Prod P,4/1/2016,118851.6738
East,Prod I,11/1/2012,55851.5
South,Prod N,8/21/2013,71222.85298
South,Prod E,8/1/2010,15192.48087
North,Prod R,4/7/2016,119046.9874
South,Prod L,5/15/2015,102781.1033
West,Prod F,8/25/2014,89713.85168
West,Prod O,8/13/2012,51748.35432
North,Prod I,5/17/2015,102250.395
South,Prod F,10/25/2014,92466.87973
North,Prod C,4/27/2012,46659.79153
North,Prod M,6/27/2012,49673.04981
West,Prod J,3/24/2014,81201.27109
South,Prod O,4/2/2014,82389.20178
North,Prod M,8/13/2014,88529.33558
North,Prod L,2/4/2010,6181.296037
North,Prod B,10/6/2010,17959.73024
South,Prod A,2/4/2015,97809.8535
East,Prod L,8/8/2015,106597.8864
North,Prod T,12/1/2012,57942.56182
North,Prod P,8/7/2014,88049.72126
West,Prod T,7/29/2014,87769.2961
North,Prod B,12/10/2015,112732.8156
North,Prod P,11/21/2010,20801.22176
East,Prod O,8/5/2015,105858.8681
East,Prod T,3/16/2014,80751.39012
East,Prod B,1/26/2010,5249.311434
North,Prod I,2/14/2016,115632.3359
West,Prod F,2/20/2013,61954.15182
West,Prod S,10/18/2014,91936.64934
North,Prod B,10/6/2012,54720.44546
East,Prod P,5/27/2015,102703.6333
North,Prod I,8/27/2013,71350.34168
North,Prod S,8/5/2014,88299.51235
East,Prod M,8/19/2010,15244.9993
North,Prod F,4/4/2013,64081.12847
