Region,Product,Date,Sales
North,Prod O,11/20/2012,58115.16458
North,Prod S,2/17/2012,43851.10503
North,Prod K,9/25/2011,36528.66034
North,Prod I,1/22/2013,61145.13199
East,Prod H,2/7/2010,6384.21219
North,Prod M,11/23/2014,93837.50659
South,Prod F,9/2/2011,35797.82346
East,Prod S,10/27/2010,19723.28442
North,Prod L,3/28/2012,46045.3082
North,Prod R,9/30/2015,110260.0839
North,Prod B,3/24/2016,118582.6691
North,Prod Q,2/18/2011,25826.96732
North,Prod N,10/1/2015,110165.4564
North,Prod N,3/19/2016,118364.203
North,Prod N,4/28/2012,47654.56104
North,Prod J,11/10/2015,111995.336
South,Prod R,9/12/2015,109438.5632
North,Prod G,5/6/2016,121231.9124
West,Prod J,4/6/2012,46482.91752
West,Prod T,6/25/2014,86722.35167
North,Prod R,1/18/2014,78992.54991
East,Prod T,1/17/2011,23381.98356
South,Prod C,8/9/2012,52652.34466
South,Prod B,6/20/2012,50347.07452
North,Prod H,4/20/2013,65212.57142
North,Prod F,2/17/2013,62344.23597
North,Prod K,5/18/2010,11689.11249
East,Prod I,6/15/2015,103965.709
North,Prod N,1/28/2015,97894.04249
South,Prod K,10/9/2010,19600.0355
West,Prod B,11/10/2012,57241.04871
North,Prod T,5/20/2013,66804.97185
North,Prod B,1/26/2011,24549.33205
South,Prod S,10/17/2014,92676.74981
North,Prod J,11/24/2013,76306.5023
East,Prod P,3/5/2013,62461.22905
North,Prod H,12/12/2014,94873.53387
South,Prod K,11/11/2010,20640.34299
East,Prod E,8/14/2010,16013.9123
North,Prod K,5/26/2010,12396.01938
East,Prod P,12/7/2013,76066.75767
North,Prod F,9/7/2013,72633.60039
South,Prod G,7/31/2015,107000.2457
North,Prod D,2/28/2011,26482.03818
