Region,Product,Date,Sales
South,Prod B,3/16/2015,100308.7559
West,Prod T,5/2/2013,65824.37301
North,Prod M,1/2/2014,78488.77647
South,Prod G,10/2/2011,36987.84956
North,Prod R,4/3/2011,28013.17286
North,Prod I,9/16/2010,18192.7951
North,Prod B,12/17/2015,113945.7647
South,Prod N,4/3/2013,64663.23978
North,Prod T,10/24/2014,93012.55135
West,Prod J,8/26/2011,35464.07375
South,Prod R,9/6/2011,35676.45696
South,Prod E,4/6/2016,119532.2752
North,Prod K,3/17/2014,82042.29783
West,Prod K,8/25/2013,71513.9653
North,Prod L,10/3/2011,36987.5364
North,Prod S,1/7/2013,60398.94966
North,Prod H,7/28/2014,88737.89095
South,Prod K,8/1/2015,107217.217
South,Prod Q,2/5/2010,7055.740918
North,Prod G,1/4/2013,60093.44386
North,Prod R,1/31/2015,97436.14549
South,Prod E,3/20/2016,118813.161
North,Prod P,4/6/2014,82696.94195
South,Prod J,11/13/2014,94474.40825
East,Prod R,6/17/2013,67355.52968
North,Prod N,5/4/2015,102661.8362
South,Prod J,7/12/2012,51276.24076
North,Prod P,7/21/2013,69930.53394
North,Prod S,3/4/2013,62715.18881
North,Prod B,12/14/2014,95101.71615
North,Prod J,7/23/2013,70230.41802
West,Prod F,6/25/2014,86775.72492
