Region,Product,Date,Sales
East,Prod R,5/2/2014,83593.54185
East,Prod N,9/27/2010,18208.37973
West,Prod Q,2/22/2014,80643.52844
North,Prod B,5/21/2013,67130.51489
North,Prod L,4/15/2011,28216.31508
North,Prod I,7/25/2014,88552.90119
North,Prod Q,10/28/2011,38508.54533
West,Prod D,11/25/2013,75976.84275
East,Prod H,5/6/2012,47275.32318
North,Prod D,1/26/2015,97672.81876
South,Prod T,7/3/2013,69426.64785
West,Prod G,1/10/2011,23636.80635
South,Prod C,2/25/2013,62886.47794
North,Prod P,2/23/2016,117350.0148
West,Prod P,3/27/2011,27483.78504
North,Prod G,12/14/2015,113498.3793
North,Prod Q,6/30/2010,13947.46004
South,Prod D,12/2/2012,58634.01844
North,Prod H,8/6/2015,107326.5718
North,Prod P,2/4/2013,61666.31762
North,Prod H,2/7/2011,25026.05548
North,Prod A,10/28/2015,111525.1501
North,Prod I,9/15/2015,109516.9021
East,Prod F,8/11/2014,89089.25687
South,Prod G,11/23/2010,21635.32846
North,Prod T,8/25/2012,53405.87777
North,Prod C,8/28/2014,90151.2881
North,Prod O,1/30/2015,97990.43346
North,Prod S,6/28/2015,105400.8294
West,Prod L,10/27/2015,111323.2025
North,Prod O,10/28/2015,111440.7133
North,Prod C,6/12/2011,31610.74419
North,Prod N,9/21/2011,36460.52363
North,Prod G,11/8/2010,21046.26336
South,Prod F,6/25/2014,87380.12236
East,Prod R,5/27/2013,66554.40796
North,Prod B,1/1/2015,96653.6603
South,Prod O,3/20/2016,119177.2369
North,Prod Q,3/7/2010,8488.248142
North,Prod Q,8/11/2012,52883.81693
