Region,Product,Date,Sales
North,Prod N,5/1/2015,102377.6193
West,Prod D,10/3/2011,37177.58153
North,Prod K,11/19/2014,94252.0082
North,Prod O,4/27/2015,102257.8928
North,Prod T,11/11/2013,75546.12347
North,Prod B,2/10/2014,80442.38474
South,Prod O,6/17/2015,104897.7391
North,Prod D,7/7/2015,105923.3115
South,Prod G,11/17/2010,21450.83322
South,Prod H,1/28/2013,61299.99776
North,Prod A,5/11/2010,11451.27943
South,Prod B,3/14/2012,45476.38078
North,Prod T,1/22/2011,24168.27204
South,Prod H,2/12/2014,80567.78185
North,Prod P,6/23/2010,13743.68345
West,Prod K,11/26/2011,39942.98559
South,Prod S,1/22/2015,97787.08023
East,Prod O,7/25/2012,51005.06399
East,Prod B,10/17/2011,37174.2827
North,Prod E,4/20/2010,10043.96978
North,Prod I,12/17/2012,59163.21172
South,Prod M,6/13/2013,68426.41479
West,Prod C,11/27/2015,112762.8163
North,Prod L,5/12/2010,11876.93317
North,Prod E,9/6/2015,109140.272
North,Prod S,2/28/2015,99201.77466
North,Prod T,3/3/2014,81303.18518
South,Prod H,8/29/2010,16936.51385
North,Prod E,11/24/2013,75990.82875
North,Prod N,5/3/2011,29303.91305
North,Prod B,4/18/2015,101749.7259
North,Prod I,7/4/2010,14525.56054
South,Prod J,1/25/2013,61125.11275
North,Prod R,6/3/2013,67428.71694
South,Prod P,11/9/2015,112177.5954
East,Prod I,7/1/2013,68486.57586
West,Prod C,9/28/2015,109861.4788
North,Prod O,1/15/2013,60502.96788
South,Prod A,1/16/2016,115807.1046
